Meal Number,Meal Name,Calories,Ingredients,Weight (g),Volume,Protein (g),Carbohydrates (g),Fat (g),Meal Type,Sensitivity,Meal Category,Category
31,مشويات مشكلة,700,"كباب (100g), كفتة (100g), دجاج (100g), زيت (20g)",320,,40,0,30,High Protein,Normal,Main Course,العشاء
32,فطير مشلتت,300,"دقيق (200g), زيت (20g), ماء (50g)",270,,5,50,10,High Carbohydrate,Normal,Main Course,الفطار
33,عيش بلدي,250,"دقيق (200g), ماء (100g), خميرة (5g)",305,,8,48,2,Low Calorie,Normal,Main Course,الفطار
34,بيض مخفوق,200,"بيض (100g), زيت (10g)",110,,12,1,15,High Protein,Normal,Main Course,الفطار
35,جبنة دمياطي,150,"جبنة دمياطي (100g)",100,,18,1,10,High Protein,Normal,Side Dish,الفطار
179,معكرونة باللحمة المفرومة,400,"معكرونة (200g), لحم مفروم (150g), صلصة طماطم (50g), زيت زيتون (20g)",700,,35,40,25,Normal,High Calorie,وجبة رئيسية,الغداء
180,رز بالدجاج والخضار,400,"أرز (200g), دجاج (150g), خضار مشكلة (100g), زيت زيتون (20g)",750,,40,45,30,Normal,High Calorie,وجبة رئيسية,الغداء
181,شاورما لحمة,350,"لحم بقري (200g), خبز عربي (100g), طماطم (50g), خس (30g), ثوم (20g)",600,,30,50,20,Normal,High Calorie,وجبة رئيسية,الغداء
182,برجر دجاج,350,"صدر دجاج (150g), خبز هامبرجر (100g), جبنة (50g), خس (30g), طماطم (20g)",500,,25,40,20,Normal,High Calorie,وجبة رئيسية,الغداء
183,بطاطا محشوة باللحمة,300,"بطاطا (200g), لحم مفروم (100g), جبنة (50g), زيت زيتون (20g)",550,,30,35,25,Normal,High Calorie,وجبة رئيسية,الغداء
184,وجبة السوشي المشكلة,350,"أرز للسوشي (200g), سمك قرش (100g), خيار (50g), طماطم (30g), صوص الصويا (20g)",700,,35,40,25,Normal,High Calorie,وجبة رئيسية,الغداء
185,بيتزا بالسجق,400,"عجينة البيتزا (200g), صلصة الطماطم (50g), سجق (100g), جبنة (50g), زيت زيتون (20g)",800,,40,45,35,Normal,High Calorie,وجبة رئيسية,الغداء
186,كفتة بالبطاطا,350,"لحم مفروم (200g), بطاطا (100g), بصل (50g), طماطم (30g), زيت زيتون (20g)",600,,30,40,30,Normal,High Calorie,وجبة رئيسية,الغداء
187,برياني لحمة,400,"أرز (200g), لحم مفروم (150g), بصل (50g), زيت زيتون (20g), بهارات (10g)",750,,35,45,30,Normal,High Calorie,وجبة رئيسية,الغداء
188,فول مدمس باللحمة,350,"فول مدمس (200g), لحم مفروم (100g), بصل (50g), زيت زيتون (20g), طماطم (20g)",650,,30,40,25,Normal,High Calorie,وجبة رئيسية,الغداء
36,زبادي,100,"زبادي (200g)",200,,6,7,4,Low Calorie,Normal,Side Dish,الفطار
37,تمر,300,"تمر (100g)",100,,2,75,0,High Carbohydrate,Normal,Snack,الفطار
38,عسل أبيض,350,"عسل أبيض (100g)",100,,0,90,0,High Carbohydrate,Normal,Snack,الفطار
39,لبن رايب,150,"لبن رايب (200g)",200,,8,12,4,Low Calorie,Normal,Side Dish,الفطار
40,حلاوة طحينية,400,"حلاوة (50g), طحينية (50g)",100,,8,48,20,High Calorie,Normal,Snack,الفطار
41,مربى فراولة,250,"مربى فراولة (100g)",100,,0,65,0,High Carbohydrate,Normal,Snack,الفطار
42,بسكويت,150,"بسكويت (50g)",50,,2,20,5,Low Calorie,Normal,Snack,السناكس
43,شيبسي,200,"بطاطس (50g), زيت (20g)",70,,2,20,10,High Fat,Normal,Snack,السناكس
44,كعك,250,"دقيق (50g), سكر (20g), زبدة (10g)",80,,3,40,10,High Carbohydrate,Normal,Snack,السناكس
45,جوز,300,"جوز (50g)",50,,7,5,30,High Fat,Normal,Snack,السناكس
46,فستق,350,"فستق (50g)",50,,7,5,30,High Fat,Normal,Snack,السناكس
47,تمر,300,"تمر (100g)",100,,2,75,0,High Carbohydrate,Normal,Snack,السناكس
48,عسل أبيض,350,"عسل أبيض (100g)",100,,0,90,0,High Carbohydrate,Normal,Snack,السناكس
49,حلاوة طحينية,400,"حلاوة (50g), طحينية (50g)",100,,8,48,20,High Calorie,Normal,Snack,السناكس
50,بان كيك,500,"دقيق (200g), حليب (200g), سكر (50g), زبدة (20g)",350,,10,70,20,High Carbohydrate,Normal,Snack,السناكس
51,مشروبات غازية,150,"مشروب غازي (330ml)",330,,0,40,0,High Carbohydrate,Normal,Drink,السناكس
52,كبدة بالبصل,400,"كبدة (200g), بصل (100g), زيت (20g)",320,,30,10,20,High Protein,Normal,Main Course,الغداء
53,محشي كوسة,350,"كوسة (200g), أرز (50g), طماطم (50g), زيت (10g)",270,,10,50,10,Low Calorie,Normal,Main Course,الغداء
54,مكرونة بالبشاميل,600,"معكرونة (200g), حليب (200g), جبنة (100g), زيت (20g)",520,,20,70,25,High Calorie,Normal,Main Course,الغداء
55,مشويات مشكلة,700,"كباب (100g), كفتة (100g), دجاج (100g), زيت (20g)",320,,40,0,30,High Protein,Normal,Main Course,الغداء
56,كباب,400,"لحم (200g), بصل (50g), زيت (20g)",270,,30,10,20,High Protein,Normal,Main Course,الغداء
57,كفتة,350,"لحم (200g), بصل (50g), زيت (20g)",270,,30,10,15,High Protein,Normal,Main Course,الغداء
58,دجاج مشوي,400,"دجاج (200g), زيت (20g)",220,,40,0,15,High Protein,Normal,Main Course,الغداء
59,سمك مشوي,400,"سمك (200g), زيت (20g), ليمون (10g)",230,,30,0,15,High Protein,Normal,Main Course,الغداء
60,رز بالخضار,350,"أرز (200g), خضار مشكلة (100g), زيت (20g)",320,,10,60,10,High Carbohydrate,Normal,Main Course,الغداء
61,طاجين لحم,500,"لحم (200g), بطاطس (100g), جزر (50g), زيت (20g)",370,,30,40,20,High Protein,Normal,Main Course,الغداء
35,سلطة الدجاج,400,"دجاج (200g), خس (50g), زيت الزيتون (10g)",260,,30,10,20,High Protein,Normal,Main Course,الغداء
36,بول بالكينوا,450,"كينوا (200g), أفوكادو (50g), فاصوليا سوداء (50g), ذرة (50g)",350,,15,55,15,High Carbohydrate,Normal,Main Course,العشاء
37,سلطة الفواكه,300,"تفاح (100g), موز (100g), برتقال (100g), عنب (100g)",400,,5,70,5,High Carbohydrate,Normal,Dessert,السناكس
38,شوربة الخضار,200,"خضار مشكلة (200g), ماء (200g), زيت (10g)",460,,10,35,5,Low Calorie,Normal,Soup,العشاء
39,مشويات مشكلة,700,"كباب (100g), كفتة (100g), دجاج (100g), زيت (20g)",320,,40,0,30,High Protein,Normal,Main Course,العشاء
40,أومليت البيض,300,"بيض (200g), زيت (20g), جبنة (50g)",220,,20,10,25,High Protein,Normal,Main Course,الفطار
42,بيتزا,400,"طحين (200g), صلصة طماطم (50g), جبنة (100g), زيت (20g)",550,,40,20,30,High Carb,Normal,Main Course,العشاء
43,سمك مشوي,250,"سمك (200g), زيت (10g), ليمون (10g)",200,,30,5,0,High Protein,Low Carb,Main Course,العشاء
44,سلطة السيزر,200,"خس (100g), دجاج مشوي (50g), جبنة بارميزان (20g), صلصة سيزر (30g)",250,,15,10,20,High Protein,Low Carb,Appetizer,العشاء
45,باستا بالصلصة البيضاء,350,"مكرونة (200g), صلصة كريمة (50g), جبنة موزاريلا (50g), زيت زيتون (20g)",480,,35,15,25,High Carb,Normal,Main Course,العشاء
46,سلطة الفاكهة بالزبادي,180,"موز (100g), عنب (50g), توت (30g), زبادي (50g)",120,,5,0,15,Low Fat,Low Carb,Appetizer,الإفطار
47,شوربة الخضار,250,"بطاطس (100g), جزر (50g), بصل (50g), ماء (150g)",150,,5,0,10,Low Fat,Low Carb,Starter,الغداء
48,ستيك لحم بالفطر,300,"ستيك لحم بقري (200g), فطر (50g), زيت زيتون (10g), صلصة صويا (10g)",400,,25,10,30,High Protein,Low Carb,Main Course,العشاء
49,عصير الفواكه الطازج,200,"تفاح (100g), برتقال (50g), موز (50g)",120,,0,0,30,Low Fat,Low Protein,Beverage,وجبة خفيفة
50,ساندويتش تونا,250,"خبز أسمر (100g), تونا (100g), خس (20g), طماطم (30g)",280,,15,5,20,High Protein,Low Carb,Main Course,الغداء
51,كرات الطاقة بالمكسرات,150,"تمر (50g), لوز (50g), جوز الهند (30g), عسل (20g)",200,,10,5,15,High Fat,Low Carb,Snack,وجبة خفيفة
52,معكرونة بالبيستو,350,"معكرونة (200g), صلصة بيستو (50g), جبنة بارميزان (30g), زيت زيتون (20g)",420,,30,15,25,High Carb,Normal,Main Course,العشاء
53, القرنبيط المشوي,180,"قرنبيط (100g), زيت زيتون (20g), عصير ليمون (30g), بقدونس (10g)",150,,5,0,20,Low Fat,Low Carb,Appetizer,الغداء
54,فاكهة مشكلة بالزبادي,200,"موز (50g), تفاح (50g), عنب (50g), زبادي (50g)",150,,5,0,20,Low Fat,Low Carb,Appetizer,وجبة خفيفة
55, البطاطا الحلوة المشوية,250,"بطاطا حلوة (150g), زيت زيتون (20g), بقدونس (10g), ملح (5g)",200,,5,0,25,Low Fat,Low Carb,Appetizer,الغداء
56,بيض مسلوق,100,"بيض (100g)",155,,10,10,15,High Protein,Low Carb,Main Course,الفطار
57,سلطة الطماطم والخيار,150,"طماطم (100g), خيار (50g), بصل (20g), زيت زيتون (10g)",80,,5,0,15,Low Fat,Low Carb,Appetizer,العشاء
58,بسكويت الشوفان بالموز,200,"شوفان (100g), موز (50g), عسل (20g), حليب (30g)",250,,10,5,20,Low Fat,High Carb,Snack,وجبة خفيفة
59,سمبوسة باللحم,300,"عجينة سمبوسة (150g), لحم مفروم (100g), بصل (30g), بهارات (10g)",350,,20,10,25,High Protein,High Carb,Main Course,العشاء
60,سلطة التونة بالفاصوليا الخضراء,200,"تونة (100g), فاصوليا خضراء (50g), بصل (20g), طماطم (30g)",220,,15,5,20,High Protein,Low Carb,Appetizer,العشاء
61,شوربة الطماطم,250,"طماطم (200g), بصل (30g), زيت زيتون (20g), ماء (200g)",150,,5,0,10,Low Fat,Low Carb,Starter,الغداء
62,سمك مقلي,300,"سمك (200g), زيت زيتون (20g), طحين (30g)",350,,25,5,15,High Protein,High Carb,Main Course,العشاء
63,سلطة الفاصوليا السوداء,200,"فاصوليا سوداء (100g), طماطم (50g), بصل (20g), كزبرة (10g)",180,,5,0,20,Low Fat,High Carb,Appetizer,العشاء
64,سندويتش الدجاج المشوي,300,"خبز أسمر (100g), دجاج مشوي (100g), خس (20g), طماطم (30g)",280,,15,5,20,High Protein,Low Carb,Main Course,الغداء
65,سلطة البازيلاء,150,"بازيلاء (100g), جزر (30g), بصل (20g), زيت زيتون (10g)",100,,5,0,15,Low Fat,Low Carb,Appetizer,العشاء
66,بيتزا خضار,350,"عجينة بيتزا (200g), صلصة طماطم (50g), فلفل أخضر (30g), بصل (20g)",400,,20,10,25,Low Fat,High Carb,Main Course,العشاء
67,تبولة,200,"برغل (50g), طماطم (50g), خيار (50g), بقدونس (20g)",180,,5,0,20,Low Fat,High Carb,Appetizer,الغداء
68,بوريك بالسبانخ,250,"عجينة بوريك (150g), سبانخ (100g), بصل (20g), زيت زيتون (10g)",300,,15,10,20,Low Fat,High Carb,Main Course,العشاء
69,سلطة الكينوا بالخضار,250,"كينوا (100g), طماطم (50g), خيار (50g), بقدونس (20g)",220,,10,0,25,Low Fat,High Carb,Appetizer,العشاء
70,ساندويتش الهمبرغر,400,"خبز همبرغر (200g), لحم بقري مفروم (150g), خس (20g), طماطم (30g)",480,,25,20,30,High Protein,High Carb,Main Course,الغداء
71,معكرونة بالصلصة الحمراء,350,"معكرونة (200g), صلصة طماطم (50g), جبنة بارميزان (30g), زيت زيتون (20g)",420,,30,15,25,High Carb,Normal,Main Course,العشاء
72,سلطة الفواكه المجففة بالزبادي,200,"تمر (50g), زبيب (50g), لوز (30g), زبادي (70g)",180,,10,5,20,Low Fat,Low Carb,Appetizer,وجبة خفيفة
73,شوربة العدس,250,"عدس (150g), بصل (30g), طماطم (50g), زيت زيتون (10g)",200,,5,0,15,Low Fat,High Carb,Starter,الغداء
74,كعكة الجزر,300,"جزر (150g), طحين (100g), سكر (50g), زيت (20g)",350,,15,10,20,Normal,High Carb,Dessert,وجبة خفيفة
75,توست بالجبن,200,"خبز توست (100g), جبن شيدر (50g), زبدة (20g)",280,,15,10,20,High Protein,High Carb,Main Course,الفطار
76,سمبوسة بالجبنة,250,"عجينة سمبوسة (150g), جبنة موزاريلا (100g), بقدونس (20g), زيت زيتون (10g)",300,,20,10,25,High Protein,High Carb,Main Course,الغداء
77,سلطة الجزر والتفاح,150,"جزر (100g), تفاح (50g), ليمون (20g), عسل (10g)",100,,5,0,15,Low Fat,Low Carb,Appetizer,العشاء
78,عصير الطماطم,200,"طماطم (150g), خيار (30g), بقدونس (20g)",100,,0,0,25,Low Fat,Low Carb,Beverage,وجبة خفيفة
79,كيكة الشوكولاتة,300,"طحين (150g), سكر (100g), بيض (50g), زبدة (50g), كاكاو (20g)",400,,20,15,30,Normal,High Carb,Dessert,وجبة خفيفة
80,شوربة الفطر,250,"فطر (200g), بصل (30g), زيت زيتون (20g), ماء (200g)",150,,5,0,10,Low Fat,Low Carb,Starter,الغداء
81,سلطة البطاطس,200,"بطاطس (150g), بصل (30g), مايونيز (20g), خيار مخلل (20g)",250,,10,10,20,Normal,High Carb,Appetizer,الغداء
82,بسكويت الشوكولاتة,200,"طحين (100g), سكر (50g), زبدة (50g), شوكولاتة (30g)",350,,15,10,25,Normal,High Carb,Snack,وجبة خفيفة
83,عصير البرتقال الطازج,250,"برتقال (200g), ليمون (50g), عسل (20g)",150,,0,0,30,Low Fat,Low Carb,Beverage,وجبة خفيفة
84,بيتزا بالخضار المشوية,350,"عجينة بيتزا (200g), صلصة طماطم (50g), فلفل أحمر (30g), كوسا (20g)",380,,15,10,25,Low Fat,High Carb,Main Course,العشاء
86,بوريتو,300,"تورتيلا (150g), لحم مفروم (100g), فاصوليا (50g), جبنة (30g)",400,,20,15,30,High Protein,High Carb,Main Course,العشاء
87,كوكيز الشوفان بالموز,200,"شوفان (100g), موز (50g), عسل (20g), زبدة (30g)",300,,15,10,20,Normal,High Carb,Snack,وجبة خفيفة
88,معكرونة بالجبنة,350,"معكرونة (200g), جبنة شيدر (50g), حليب (50g), زبدة (20g)",450,,25,15,30,High Protein,High Carb,Main Course,العشاء
89,ستيك السلمون المشوي,300,"سلمون (200g), زيت زيتون (20g), ليمون (10g), ملح (5g)",350,,25,10,30,High Protein,Low Carb,Main Course,العشاء
90,وجبة البيض والفاصوليا السوداء,350,"بيض (200g), فاصوليا سوداء (100g), زيت زيتون (20g), طماطم (30g)",400,,30,15,25,High Protein,High Carb,Main Course,الفطار
91,سلطة الدجاج المشوي,250,"دجاج مشوي (150g), خس (50g), طماطم (30g), بصل (20g)",280,,20,5,20,High Protein,Low Carb,Appetizer,الغداء
92,بيض مسلوق مع توست,200,"بيض مسلوق (100g), خبز توست (100g), زبدة (20g)",250,,15,10,20,High Protein,High Carb,Main Course,الفطار
93,شوربة العدس باللحم,300,"عدس (200g), لحم مفروم (100g), بصل (30g), طماطم (50g)",350,,25,10,25,High Protein,High Carb,Starter,الغداء
94,سلطة السلمون المدخن,200,"سلمون مدخن (100g), خس (50g), طماطم (30g), بصل أحمر (20g)",250,,20,5,20,High Protein,Low Carb,Appetizer,الغداء
95,باستا بالدجاج والصوص الأبيض,400,"معكرونة (200g), دجاج مسلوق (100g), صوص كريمي (50g), جبنة موزاريلا (50g)",500,,30,20,30,High Protein,High Carb,Main Course,العشاء
96,سلطة الكينوا بالتونة,250,"كينوا (100g), تونة (100g), طماطم (30g), خيار (20g)",280,,20,5,25,High Protein,Low Carb,Appetizer,الغداء
97,سمكة السلمون المشوية مع الخضار,350,"سلمون (200g), خضار مشكلة (100g), زيت زيتون (20g), ليمون (10g)",400,,30,10,30,High Protein,Low Carb,Main Course,العشاء
98,ساندويتش الدجاج المشوي,300,"خبز أسمر (100g), دجاج مشوي (150g), خس (30g), طماطم (20g)",350,,25,10,25,High Protein,High Carb,Main Course,الغداء
99,برجر لحم مع بطاطس مقلية,500,"لحم بقري مفروم (200g), خبز همبرغر (100g), جبن شيدر (50g), بطاطس مقلية (150g)",700,,40,30,35,High Protein,High Carb,Main Course,العشاء
100,باستا كاربونارا,400,"معكرونة (200g), كريمة طازجة (100g), بيض (50g), جبنة بارميزان (50g)",600,,35,25,30,High Fat,High Carb,Main Course,العشاء
101,سلطة الكريمة بالدجاج المشوي,350,"دجاج مشوي (150g), خس (50g), جزر (30g), كريمة طازجة (70g)",550,,30,20,25,High Protein,High Fat,Appetizer,الغداء
102,شاورما لحم,300,"لحم بقري مفروم (200g), خبز عربي (100g), زيت زيتون (20g), طماطم (30g)",600,,35,25,30,High Protein,High Carb,Main Course,العشاء
103,بيتزا اللحم والجبن,400,"عجينة بيتزا (200g), صلصة طماطم (50g), لحم بقري مفروم (100g), جبنة موزاريلا (50g)",750,,40,30,35,High Protein,High Carb,Main Course,العشاء
104,كعكة الشوكولاتة اللذيذة,350,"طحين (150g), سكر (100g), بيض (50g), زبدة (50g), كاكاو (30g)",800,,40,35,40,Normal,High Carb,Dessert,وجبة خفيفة
105,سلطة الروبيان بالأفوكادو,300,"روبيان (200g), أفوكادو (100g), خس (30g), طماطم (20g)",600,,35,30,25,High Protein,High Fat,Appetizer,الغداء
106,باستا الفريدو,400,"معكرونة (200g), كريمة طازجة (100g), زبدة (50g), جبنة بارميزان (50g)",700,,35,30,30,High Fat,High Carb,Main Course,العشاء
107,سلطة البطاطس بالمايونيز,250,"بطاطس (200g), مايونيز (50g), بصل (20g), ملح (5g)",600,,35,40,20,High Fat,High Carb,Appetizer,الغداء
108,شيك الفاكهة بالزبادي والعسل,300,"زبادي (200g), تفاح (100g), موز (50g), عسل (30g)",650,,30,25,30,High Protein,High Carb,Dessert,وجبة خفيفة
110,عصير الخضار الطازج,200,"خيار (100g), بندورة (50g), جزر (50g), شمندر (30g)",80,,0,0,15,Low Fat,Low Carb,Beverage,وجبة خفيفة
111,سلطة الطحينة بالخيار,150,"طحينة (100g), خيار (50g), ليمون (10g), زيت زيتون (10g)",120,,3,0,10,Low Fat,Low Carb,Appetizer,العشاء
112,سلطة الفجل بالليمون,150,"فجل (100g), ليمون (50g), زيت زيتون (10g), ملح (5g)",70,,1,0,10,Low Fat,Low Carb,Appetizer,العشاء
113,شاي أخضر,200,"ماء (200g), أوراق شاي أخضر (10g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
116,شوربة الخضار الخفيفة,200,"بطاطس (100g), جزر (50g), كرنب (50g), ماء (150g)",120,,2,0,15,Low Fat,Low Carb,Starter,الغداء
118,شاي أعشاب,200,"ماء (200g), أعشاب مجففة (10g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
120, الفاصوليا الخضراء بالليمون,150,"فاصوليا خضراء (100g), ليمون (50g), زيت زيتون (10g), ملح (5g)",90,,2,0,10,Low Fat,Low Carb,Appetizer,الغداء
121,شوربة الطماطم الخفيفة,200,"طماطم (150g), بصل (30g), زيت زيتون (10g), ماء (200g)",100,,2,0,10,Low Fat,Low Carb,Starter,الغداء
123,شاي الزنجبيل,200,"ماء (200g), شرائح زنجبيل (10g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
125, البطاطس المشوية بالثوم,150,"بطاطس (100g), زيت زيتون (10g), ثوم (10g), بقدونس (10g)",100,,3,0,10,Low Fat,Low Carb,Appetizer,الغداء
126,شوربة الخضار بالشوفان,200,"شوفان (50g), جزر (50g), بصل (30g), ماء (150g)",120,,2,0,15,Low Fat,Low Carb,Starter,الغداء
127,سلطة الجزر بالزبادي,150,"جزر (100g), زبادي (50g), زيت زيتون (10g), خل (10g)",100,,2,0,10,Low Fat,Low Carb,Appetizer,العشاء
128,شاي الأعشاب بالليمون,200,"ماء (200g), أعشاب مجففة (10g), ليمون (10g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
131,شوربة الكرفس,200,"كرفس (150g), بصل (30g), زيت زيتون (10g), ماء (200g)",90,,2,0,5,Low Fat,Low Carb,Starter,الغداء
133,شاي النعناع,200,"ماء (200g), أوراق نعناع (10g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
136,شوربة البطاطس الحلوة,200,"بطاطس حلوة (150g), بصل (30g), زيت زيتون (10g), ماء (200g)",100,,2,0,5,Low Fat,Low Carb,Starter,الغداء
138,شاي الليمون,200,"ماء (200g), شرائح ليمون (10g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
140,سلطة الفلفل الحار بالليمون,150,"فلفل حار (100g), ليمون (50g), بقدونس (20g), زيت زيتون (10g)",80,,2,0,5,Low Fat,Low Carb,Appetizer,العشاء
141,شوربة البصل,200,"بصل (150g), زيت زيتون (10g), ماء (200g)",100,,2,0,5,Low Fat,Low Carb,Starter,الغداء
143,شاي الشمر,200,"ماء (200g), بذور الشمر (5g)",5,,0,0,0,Low Fat,Low Carb,Beverage,وجبة خفيفة
144,بيتزا بالبيبروني والفطر,400,"عجينة بيتزا (200g), صلصة طماطم (50g), بيبروني (100g), فطر (50g)",600,,20,25,35,Normal,High Carb,Main Course,العشاء
145,تورتيلا بالفاصوليا والجبنة,300,"تورتيلا (150g), فاصوليا (100g), جبنة شيدر (50g)",450,,15,20,30,Normal,High Carb,Main Course,العشاء
146,كعكة الجزر بالشوكولاتة,350,"جزر (150g), طحين (100g), سكر (50g), شوكولاتة (50g)",700,,30,35,40,Normal,High Carb,Dessert,وجبة خفيفة
147,بطاطس مقلية,200,"بطاطس (200g), زيت نباتي (20g), ملح (5g)",350,,10,15,25,Normal,High Carb,Appetizer,الغداء
148,بان كيك بالعسل,300,"دقيق (150g), بيض (100g), حليب (50g), عسل (30g)",600,,25,30,35,Normal,High Carb,Main Course,الفطار
149,سلطة الفاكهة الموسمية,250,"تفاح (100g), برتقال (50g), موز (50g), عنب (50g)",200,,2,0,35,Low Fat,High Carb,Dessert,وجبة خفيفة
150,بطاطس مهروسة,200,"بطاطس (200g), زبدة (20g), ملح (5g)",300,,10,15,25,Normal,High Carb,Appetizer,الغداء
151,بسكويت الشوفان بالفواكه المجففة,200,"شوفان (100g), موز (50g), تمر (50g), زبدة (20g)",400,,15,20,30,Normal,High Carb,Snack,وجبة خفيفة
152,سلطة البطاطس بالمايونيز والبيض,250,"بطاطس (150g), مايونيز (50g), بيض (50g), بقدونس (20g)",350,,15,20,30,Normal,High Carb,Appetizer,الغداء
153,عصير الفواكه الطبيعي,250,"تفاح (100g), برتقال (50g), موز (50g), عنب (50g)",200,,2,0,35,Low Fat,High Carb,Beverage,وجبة خفيفة
154,معكرونة بالصلصة البيضاء,350,"معكرونة (200g), صلصة كريمية (100g), زبدة (50g), جبنة بارميزان (50g)",600,,20,25,30,Normal,High Carb,Main Course,العشاء
155,ساندويتش الفطير,300,"خبز فطيرة (150g), حشوة التفاح (100g), زبدة (30g), سكر (20g)",500,,20,25,30,Normal,High Carb,Main Course,الفطار
156,بطاطا محمرة بالفلفل الأحمر,200,"بطاطس (150g), فلفل أحمر (50g), زيت زيتون (20g), ملح (5g)",250,,10,15,25,Normal,High Carb,Appetizer,الغداء
157,كيكة الفانيليا,300,"دقيق (150g), سكر (100g), بيض (50g), زبدة (50g), فانيليا (10g)",550,,20,30,35,Normal,High Carb,Dessert,وجبة خفيفة
